sim_time_s,pdr,avg_pdr
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
29.998080,0.000000,0.000000
30.998080,0.000000,0.000000
31.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
29.998080,0.000000,0.000000
30.998080,0.000000,0.000000
31.998080,0.000000,0.000000
32.998080,0.000000,0.000000
33.998080,0.000000,0.000000
34.998080,0.000000,0.000000
35.998080,0.000000,0.000000
36.998080,0.000000,0.000000
37.998080,0.000000,0.000000
38.998080,0.000000,0.000000
39.998080,0.000000,0.000000
40.998080,0.000000,0.000000
41.998080,0.000000,0.000000
42.998080,0.000000,0.000000
43.998080,0.000000,0.000000
44.998080,0.000000,0.000000
45.998080,0.000000,0.000000
46.998080,0.000000,0.000000
47.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
29.998080,0.000000,0.000000
30.998080,0.000000,0.000000
31.998080,0.000000,0.000000
32.998080,0.000000,0.000000
33.998080,0.000000,0.000000
34.998080,0.000000,0.000000
35.998080,0.000000,0.000000
36.998080,0.000000,0.000000
37.998080,0.000000,0.000000
38.998080,0.000000,0.000000
39.998080,0.000000,0.000000
40.998080,0.000000,0.000000
41.998080,0.000000,0.000000
42.998080,0.000000,0.000000
43.998080,0.000000,0.000000
44.998080,0.000000,0.000000
45.998080,0.000000,0.000000
46.998080,0.000000,0.000000
47.998080,0.000000,0.000000
48.998080,0.000000,0.000000
49.998080,0.000000,0.000000
50.998080,0.000000,0.000000
51.998080,0.000000,0.000000
52.998080,0.000000,0.000000
53.998080,0.000000,0.000000
54.998080,0.000000,0.000000
55.998080,0.000000,0.000000
56.998080,0.000000,0.000000
57.998080,0.000000,0.000000
58.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
29.998080,0.000000,0.000000
30.998080,0.000000,0.000000
31.998080,0.000000,0.000000
32.998080,0.000000,0.000000
33.998080,0.000000,0.000000
34.998080,0.000000,0.000000
35.998080,0.000000,0.000000
36.998080,0.000000,0.000000
37.998080,0.000000,0.000000
38.998080,0.000000,0.000000
39.998080,0.000000,0.000000
40.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
29.998080,0.000000,0.000000
30.998080,0.000000,0.000000
31.998080,0.000000,0.000000
32.998080,0.000000,0.000000
33.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
29.998080,0.000000,0.000000
30.998080,0.000000,0.000000
31.998080,0.000000,0.000000
32.998080,0.000000,0.000000
33.998080,0.000000,0.000000
34.998080,0.000000,0.000000
35.998080,0.000000,0.000000
36.998080,0.000000,0.000000
37.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
29.998080,0.000000,0.000000
30.998080,0.000000,0.000000
31.998080,0.000000,0.000000
32.998080,0.000000,0.000000
33.998080,0.000000,0.000000
34.998080,0.000000,0.000000
35.998080,0.000000,0.000000
36.998080,0.000000,0.000000
37.998080,0.000000,0.000000
38.998080,0.000000,0.000000
39.998080,0.000000,0.000000
40.998080,0.000000,0.000000
41.998080,0.000000,0.000000
42.998080,0.000000,0.000000
43.998080,0.000000,0.000000
44.998080,0.000000,0.000000
45.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
27.998080,0.000000,0.000000
28.998080,0.000000,0.000000
29.998080,0.000000,0.000000
30.998080,0.000000,0.000000
31.998080,0.000000,0.000000
32.998080,0.000000,0.000000
33.998080,0.000000,0.000000
34.998080,0.000000,0.000000
35.998080,0.000000,0.000000
36.998080,0.000000,0.000000
1.998080,0.000000,0.000000
2.998080,0.000000,0.000000
3.998080,0.000000,0.000000
4.998080,0.000000,0.000000
5.998080,0.000000,0.000000
6.998080,0.000000,0.000000
7.998080,0.000000,0.000000
8.998080,0.000000,0.000000
9.998080,0.000000,0.000000
10.998080,0.000000,0.000000
11.998080,0.000000,0.000000
12.998080,0.000000,0.000000
13.998080,0.000000,0.000000
14.998080,0.000000,0.000000
15.998080,0.000000,0.000000
16.998080,0.000000,0.000000
17.998080,0.000000,0.000000
18.998080,0.000000,0.000000
19.998080,0.000000,0.000000
20.998080,0.000000,0.000000
21.998080,0.000000,0.000000
22.998080,0.000000,0.000000
23.998080,0.000000,0.000000
24.998080,0.000000,0.000000
25.998080,0.000000,0.000000
26.998080,0.000000,0.000000
