sim_time_s,tm_rate_per_s,delta_tm_pct,baseline_tm_rate
1.9981,0.0000,-100.0000,5.0000
2.9981,110.0000,2100.0000,5.0000
3.9981,310.0000,6100.0000,5.0000
4.9981,400.0000,7900.0000,5.0000
5.9981,400.0000,7900.0000,5.0000
6.9981,400.0000,7900.0000,5.0000
7.9981,400.0000,7900.0000,5.0000
8.9981,400.0000,7900.0000,5.0000
9.9981,400.0000,7900.0000,5.0000
10.9981,400.0000,7900.0000,5.0000
11.9981,400.0000,7900.0000,5.0000
12.9981,400.0000,7900.0000,5.0000
13.9981,400.0000,7900.0000,5.0000
14.9981,400.0000,7900.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,110.0000,2100.0000,5.0000
3.9981,310.0000,6100.0000,5.0000
4.9981,510.0000,10100.0000,5.0000
5.9981,710.0000,14100.0000,5.0000
6.9981,800.0000,15900.0000,5.0000
7.9981,800.0000,15900.0000,5.0000
8.9981,800.0000,15900.0000,5.0000
9.9981,800.0000,15900.0000,5.0000
10.9981,800.0000,15900.0000,5.0000
11.9981,800.0000,15900.0000,5.0000
12.9981,800.0000,15900.0000,5.0000
13.9981,800.0000,15900.0000,5.0000
14.9981,800.0000,15900.0000,5.0000
15.9981,800.0000,15900.0000,5.0000
16.9981,800.0000,15900.0000,5.0000
17.9981,800.0000,15900.0000,5.0000
18.9981,800.0000,15900.0000,5.0000
19.9981,800.0000,15900.0000,5.0000
20.9981,800.0000,15900.0000,5.0000
21.9981,800.0000,15900.0000,5.0000
22.9981,800.0000,15900.0000,5.0000
23.9981,800.0000,15900.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,110.0000,2100.0000,5.0000
3.9981,310.0000,6100.0000,5.0000
4.9981,510.0000,10100.0000,5.0000
5.9981,710.0000,14100.0000,5.0000
6.9981,910.0000,18100.0000,5.0000
7.9981,1110.0000,22100.0000,5.0000
8.9981,1200.0000,23900.0000,5.0000
9.9981,1200.0000,23900.0000,5.0000
10.9981,1200.0000,23900.0000,5.0000
11.9981,1200.0000,23900.0000,5.0000
12.9981,1200.0000,23900.0000,5.0000
13.9981,1200.0000,23900.0000,5.0000
14.9981,1200.0000,23900.0000,5.0000
15.9981,1200.0000,23900.0000,5.0000
16.9981,1200.0000,23900.0000,5.0000
17.9981,1200.0000,23900.0000,5.0000
18.9981,1200.0000,23900.0000,5.0000
19.9981,1200.0000,23900.0000,5.0000
20.9981,1200.0000,23900.0000,5.0000
21.9981,1200.0000,23900.0000,5.0000
22.9981,1200.0000,23900.0000,5.0000
23.9981,1200.0000,23900.0000,5.0000
24.9981,1200.0000,23900.0000,5.0000
25.9981,1200.0000,23900.0000,5.0000
26.9981,1200.0000,23900.0000,5.0000
27.9981,1200.0000,23900.0000,5.0000
28.9981,1200.0000,23900.0000,5.0000
29.9981,1200.0000,23900.0000,5.0000
30.9981,1200.0000,23900.0000,5.0000
31.9981,1200.0000,23900.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,110.0000,2100.0000,5.0000
3.9981,310.0000,6100.0000,5.0000
4.9981,510.0000,10100.0000,5.0000
5.9981,710.0000,14100.0000,5.0000
6.9981,910.0000,18100.0000,5.0000
7.9981,1110.0000,22100.0000,5.0000
8.9981,1310.0000,26100.0000,5.0000
9.9981,1510.0000,30100.0000,5.0000
10.9981,1600.0000,31900.0000,5.0000
11.9981,1600.0000,31900.0000,5.0000
12.9981,1600.0000,31900.0000,5.0000
13.9981,1600.0000,31900.0000,5.0000
14.9981,1600.0000,31900.0000,5.0000
15.9981,1600.0000,31900.0000,5.0000
16.9981,1600.0000,31900.0000,5.0000
17.9981,1600.0000,31900.0000,5.0000
18.9981,1600.0000,31900.0000,5.0000
19.9981,1600.0000,31900.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,110.0000,2100.0000,5.0000
3.9981,330.0000,6500.0000,5.0000
4.9981,420.0000,8300.0000,5.0000
5.9981,420.0000,8300.0000,5.0000
6.9981,420.0000,8300.0000,5.0000
7.9981,420.0000,8300.0000,5.0000
8.9981,420.0000,8300.0000,5.0000
9.9981,420.0000,8300.0000,5.0000
10.9981,420.0000,8300.0000,5.0000
11.9981,420.0000,8300.0000,5.0000
12.9981,420.0000,8300.0000,5.0000
13.9981,420.0000,8300.0000,5.0000
14.9981,420.0000,8300.0000,5.0000
15.9981,420.0000,8300.0000,5.0000
16.9981,420.0000,8300.0000,5.0000
17.9981,420.0000,8300.0000,5.0000
18.9981,420.0000,8300.0000,5.0000
19.9981,420.0000,8300.0000,5.0000
20.9981,420.0000,8300.0000,5.0000
21.9981,420.0000,8300.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,110.0000,2100.0000,5.0000
3.9981,330.0000,6500.0000,5.0000
4.9981,530.0000,10500.0000,5.0000
5.9981,730.0000,14500.0000,5.0000
6.9981,820.0000,16300.0000,5.0000
7.9981,820.0000,16300.0000,5.0000
8.9981,820.0000,16300.0000,5.0000
9.9981,820.0000,16300.0000,5.0000
10.9981,820.0000,16300.0000,5.0000
11.9981,820.0000,16300.0000,5.0000
12.9981,820.0000,16300.0000,5.0000
13.9981,820.0000,16300.0000,5.0000
14.9981,820.0000,16300.0000,5.0000
15.9981,820.0000,16300.0000,5.0000
16.9981,820.0000,16300.0000,5.0000
17.9981,820.0000,16300.0000,5.0000
18.9981,820.0000,16300.0000,5.0000
19.9981,820.0000,16300.0000,5.0000
20.9981,820.0000,16300.0000,5.0000
21.9981,820.0000,16300.0000,5.0000
22.9981,820.0000,16300.0000,5.0000
23.9981,820.0000,16300.0000,5.0000
24.9981,820.0000,16300.0000,5.0000
25.9981,820.0000,16300.0000,5.0000
26.9981,820.0000,16300.0000,5.0000
27.9981,820.0000,16300.0000,5.0000
28.9981,820.0000,16300.0000,5.0000
29.9981,820.0000,16300.0000,5.0000
30.9981,820.0000,16300.0000,5.0000
31.9981,820.0000,16300.0000,5.0000
32.9981,820.0000,16300.0000,5.0000
33.9981,820.0000,16300.0000,5.0000
34.9981,820.0000,16300.0000,5.0000
35.9981,820.0000,16300.0000,5.0000
36.9981,820.0000,16300.0000,5.0000
37.9981,820.0000,16300.0000,5.0000
38.9981,820.0000,16300.0000,5.0000
39.9981,820.0000,16300.0000,5.0000
40.9981,820.0000,16300.0000,5.0000
41.9981,820.0000,16300.0000,5.0000
42.9981,820.0000,16300.0000,5.0000
43.9981,820.0000,16300.0000,5.0000
44.9981,820.0000,16300.0000,5.0000
45.9981,820.0000,16300.0000,5.0000
46.9981,820.0000,16300.0000,5.0000
47.9981,820.0000,16300.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,110.0000,2100.0000,5.0000
3.9981,330.0000,6500.0000,5.0000
4.9981,530.0000,10500.0000,5.0000
5.9981,730.0000,14500.0000,5.0000
6.9981,930.0000,18500.0000,5.0000
7.9981,1130.0000,22500.0000,5.0000
8.9981,1220.0000,24300.0000,5.0000
9.9981,1220.0000,24300.0000,5.0000
10.9981,1220.0000,24300.0000,5.0000
11.9981,1220.0000,24300.0000,5.0000
12.9981,1220.0000,24300.0000,5.0000
13.9981,1220.0000,24300.0000,5.0000
14.9981,1220.0000,24300.0000,5.0000
15.9981,1220.0000,24300.0000,5.0000
16.9981,1220.0000,24300.0000,5.0000
17.9981,1220.0000,24300.0000,5.0000
18.9981,1220.0000,24300.0000,5.0000
19.9981,1220.0000,24300.0000,5.0000
20.9981,1220.0000,24300.0000,5.0000
21.9981,1220.0000,24300.0000,5.0000
22.9981,1220.0000,24300.0000,5.0000
23.9981,1220.0000,24300.0000,5.0000
24.9981,1220.0000,24300.0000,5.0000
25.9981,1220.0000,24300.0000,5.0000
26.9981,1220.0000,24300.0000,5.0000
27.9981,1220.0000,24300.0000,5.0000
28.9981,1220.0000,24300.0000,5.0000
29.9981,1220.0000,24300.0000,5.0000
30.9981,1220.0000,24300.0000,5.0000
31.9981,1220.0000,24300.0000,5.0000
32.9981,1220.0000,24300.0000,5.0000
33.9981,1220.0000,24300.0000,5.0000
34.9981,1220.0000,24300.0000,5.0000
35.9981,1220.0000,24300.0000,5.0000
36.9981,1220.0000,24300.0000,5.0000
37.9981,1220.0000,24300.0000,5.0000
38.9981,1220.0000,24300.0000,5.0000
39.9981,1220.0000,24300.0000,5.0000
40.9981,1220.0000,24300.0000,5.0000
41.9981,1220.0000,24300.0000,5.0000
42.9981,1220.0000,24300.0000,5.0000
43.9981,1220.0000,24300.0000,5.0000
44.9981,1220.0000,24300.0000,5.0000
45.9981,1220.0000,24300.0000,5.0000
46.9981,1220.0000,24300.0000,5.0000
47.9981,1220.0000,24300.0000,5.0000
48.9981,1220.0000,24300.0000,5.0000
49.9981,1220.0000,24300.0000,5.0000
50.9981,1220.0000,24300.0000,5.0000
51.9981,1220.0000,24300.0000,5.0000
52.9981,1220.0000,24300.0000,5.0000
53.9981,1220.0000,24300.0000,5.0000
54.9981,1220.0000,24300.0000,5.0000
55.9981,1220.0000,24300.0000,5.0000
56.9981,1220.0000,24300.0000,5.0000
57.9981,1220.0000,24300.0000,5.0000
58.9981,1220.0000,24300.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,70.0000,1300.0000,5.0000
4.9981,80.0000,1500.0000,5.0000
5.9981,80.0000,1500.0000,5.0000
6.9981,80.0000,1500.0000,5.0000
7.9981,80.0000,1500.0000,5.0000
8.9981,80.0000,1500.0000,5.0000
9.9981,80.0000,1500.0000,5.0000
10.9981,80.0000,1500.0000,5.0000
11.9981,80.0000,1500.0000,5.0000
12.9981,80.0000,1500.0000,5.0000
13.9981,80.0000,1500.0000,5.0000
14.9981,80.0000,1500.0000,5.0000
15.9981,80.0000,1500.0000,5.0000
16.9981,80.0000,1500.0000,5.0000
17.9981,80.0000,1500.0000,5.0000
18.9981,80.0000,1500.0000,5.0000
19.9981,80.0000,1500.0000,5.0000
20.9981,80.0000,1500.0000,5.0000
21.9981,80.0000,1500.0000,5.0000
22.9981,80.0000,1500.0000,5.0000
23.9981,80.0000,1500.0000,5.0000
24.9981,80.0000,1500.0000,5.0000
25.9981,80.0000,1500.0000,5.0000
26.9981,80.0000,1500.0000,5.0000
27.9981,80.0000,1500.0000,5.0000
28.9981,80.0000,1500.0000,5.0000
29.9981,80.0000,1500.0000,5.0000
30.9981,80.0000,1500.0000,5.0000
31.9981,80.0000,1500.0000,5.0000
32.9981,80.0000,1500.0000,5.0000
33.9981,80.0000,1500.0000,5.0000
34.9981,80.0000,1500.0000,5.0000
35.9981,80.0000,1500.0000,5.0000
36.9981,80.0000,1500.0000,5.0000
37.9981,80.0000,1500.0000,5.0000
38.9981,80.0000,1500.0000,5.0000
39.9981,80.0000,1500.0000,5.0000
40.9981,80.0000,1500.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,70.0000,1300.0000,5.0000
4.9981,110.0000,2100.0000,5.0000
5.9981,150.0000,2900.0000,5.0000
6.9981,160.0000,3100.0000,5.0000
7.9981,160.0000,3100.0000,5.0000
8.9981,160.0000,3100.0000,5.0000
9.9981,160.0000,3100.0000,5.0000
10.9981,160.0000,3100.0000,5.0000
11.9981,160.0000,3100.0000,5.0000
12.9981,160.0000,3100.0000,5.0000
13.9981,160.0000,3100.0000,5.0000
14.9981,160.0000,3100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,70.0000,1300.0000,5.0000
4.9981,110.0000,2100.0000,5.0000
5.9981,150.0000,2900.0000,5.0000
6.9981,190.0000,3700.0000,5.0000
7.9981,230.0000,4500.0000,5.0000
8.9981,240.0000,4700.0000,5.0000
9.9981,240.0000,4700.0000,5.0000
10.9981,240.0000,4700.0000,5.0000
11.9981,240.0000,4700.0000,5.0000
12.9981,240.0000,4700.0000,5.0000
13.9981,240.0000,4700.0000,5.0000
14.9981,240.0000,4700.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,70.0000,1300.0000,5.0000
4.9981,110.0000,2100.0000,5.0000
5.9981,150.0000,2900.0000,5.0000
6.9981,190.0000,3700.0000,5.0000
7.9981,230.0000,4500.0000,5.0000
8.9981,270.0000,5300.0000,5.0000
9.9981,310.0000,6100.0000,5.0000
10.9981,320.0000,6300.0000,5.0000
11.9981,320.0000,6300.0000,5.0000
12.9981,320.0000,6300.0000,5.0000
13.9981,320.0000,6300.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,74.0000,1380.0000,5.0000
4.9981,84.0000,1580.0000,5.0000
5.9981,84.0000,1580.0000,5.0000
6.9981,84.0000,1580.0000,5.0000
7.9981,84.0000,1580.0000,5.0000
8.9981,84.0000,1580.0000,5.0000
9.9981,84.0000,1580.0000,5.0000
10.9981,84.0000,1580.0000,5.0000
11.9981,84.0000,1580.0000,5.0000
12.9981,84.0000,1580.0000,5.0000
13.9981,84.0000,1580.0000,5.0000
14.9981,84.0000,1580.0000,5.0000
15.9981,84.0000,1580.0000,5.0000
16.9981,84.0000,1580.0000,5.0000
17.9981,84.0000,1580.0000,5.0000
18.9981,84.0000,1580.0000,5.0000
19.9981,84.0000,1580.0000,5.0000
20.9981,84.0000,1580.0000,5.0000
21.9981,84.0000,1580.0000,5.0000
22.9981,84.0000,1580.0000,5.0000
23.9981,84.0000,1580.0000,5.0000
24.9981,84.0000,1580.0000,5.0000
25.9981,84.0000,1580.0000,5.0000
26.9981,84.0000,1580.0000,5.0000
27.9981,84.0000,1580.0000,5.0000
28.9981,84.0000,1580.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,74.0000,1380.0000,5.0000
4.9981,114.0000,2180.0000,5.0000
5.9981,154.0000,2980.0000,5.0000
6.9981,164.0000,3180.0000,5.0000
7.9981,164.0000,3180.0000,5.0000
8.9981,164.0000,3180.0000,5.0000
9.9981,164.0000,3180.0000,5.0000
10.9981,164.0000,3180.0000,5.0000
11.9981,164.0000,3180.0000,5.0000
12.9981,164.0000,3180.0000,5.0000
13.9981,164.0000,3180.0000,5.0000
14.9981,164.0000,3180.0000,5.0000
15.9981,164.0000,3180.0000,5.0000
16.9981,164.0000,3180.0000,5.0000
17.9981,164.0000,3180.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,74.0000,1380.0000,5.0000
4.9981,114.0000,2180.0000,5.0000
5.9981,154.0000,2980.0000,5.0000
6.9981,194.0000,3780.0000,5.0000
7.9981,234.0000,4580.0000,5.0000
8.9981,244.0000,4780.0000,5.0000
9.9981,244.0000,4780.0000,5.0000
10.9981,244.0000,4780.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,74.0000,1380.0000,5.0000
4.9981,114.0000,2180.0000,5.0000
5.9981,154.0000,2980.0000,5.0000
6.9981,194.0000,3780.0000,5.0000
7.9981,234.0000,4580.0000,5.0000
8.9981,274.0000,5380.0000,5.0000
9.9981,314.0000,6180.0000,5.0000
10.9981,324.0000,6380.0000,5.0000
11.9981,324.0000,6380.0000,5.0000
12.9981,324.0000,6380.0000,5.0000
13.9981,324.0000,6380.0000,5.0000
14.9981,324.0000,6380.0000,5.0000
15.9981,324.0000,6380.0000,5.0000
16.9981,324.0000,6380.0000,5.0000
17.9981,324.0000,6380.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
24.9981,0.0000,-100.0000,5.0000
25.9981,0.0000,-100.0000,5.0000
26.9981,0.0000,-100.0000,5.0000
27.9981,0.0000,-100.0000,5.0000
28.9981,0.0000,-100.0000,5.0000
29.9981,0.0000,-100.0000,5.0000
30.9981,0.0000,-100.0000,5.0000
31.9981,0.0000,-100.0000,5.0000
32.9981,0.0000,-100.0000,5.0000
33.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
24.9981,0.0000,-100.0000,5.0000
25.9981,0.0000,-100.0000,5.0000
26.9981,0.0000,-100.0000,5.0000
27.9981,0.0000,-100.0000,5.0000
28.9981,0.0000,-100.0000,5.0000
29.9981,0.0000,-100.0000,5.0000
30.9981,0.0000,-100.0000,5.0000
31.9981,0.0000,-100.0000,5.0000
32.9981,0.0000,-100.0000,5.0000
33.9981,0.0000,-100.0000,5.0000
34.9981,0.0000,-100.0000,5.0000
35.9981,0.0000,-100.0000,5.0000
36.9981,0.0000,-100.0000,5.0000
37.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
24.9981,0.0000,-100.0000,5.0000
25.9981,0.0000,-100.0000,5.0000
26.9981,0.0000,-100.0000,5.0000
27.9981,0.0000,-100.0000,5.0000
28.9981,0.0000,-100.0000,5.0000
29.9981,0.0000,-100.0000,5.0000
30.9981,0.0000,-100.0000,5.0000
31.9981,0.0000,-100.0000,5.0000
32.9981,0.0000,-100.0000,5.0000
33.9981,0.0000,-100.0000,5.0000
34.9981,0.0000,-100.0000,5.0000
35.9981,0.0000,-100.0000,5.0000
36.9981,0.0000,-100.0000,5.0000
37.9981,0.0000,-100.0000,5.0000
38.9981,0.0000,-100.0000,5.0000
39.9981,0.0000,-100.0000,5.0000
40.9981,0.0000,-100.0000,5.0000
41.9981,0.0000,-100.0000,5.0000
42.9981,0.0000,-100.0000,5.0000
43.9981,0.0000,-100.0000,5.0000
44.9981,0.0000,-100.0000,5.0000
45.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
24.9981,0.0000,-100.0000,5.0000
25.9981,0.0000,-100.0000,5.0000
26.9981,0.0000,-100.0000,5.0000
27.9981,0.0000,-100.0000,5.0000
28.9981,0.0000,-100.0000,5.0000
29.9981,0.0000,-100.0000,5.0000
30.9981,0.0000,-100.0000,5.0000
31.9981,0.0000,-100.0000,5.0000
32.9981,0.0000,-100.0000,5.0000
33.9981,0.0000,-100.0000,5.0000
34.9981,0.0000,-100.0000,5.0000
35.9981,0.0000,-100.0000,5.0000
36.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
24.9981,0.0000,-100.0000,5.0000
25.9981,0.0000,-100.0000,5.0000
26.9981,0.0000,-100.0000,5.0000
