sim_time_s,broadcast_amplification_gamma,alert_depth_max
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
24.9981,1.0000,0
25.9981,1.0000,0
26.9981,1.0000,0
27.9981,1.0000,0
28.9981,1.0000,0
29.9981,1.0000,0
30.9981,1.0000,0
31.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
24.9981,1.0000,0
25.9981,1.0000,0
26.9981,1.0000,0
27.9981,1.0000,0
28.9981,1.0000,0
29.9981,1.0000,0
30.9981,1.0000,0
31.9981,1.0000,0
32.9981,1.0000,0
33.9981,1.0000,0
34.9981,1.0000,0
35.9981,1.0000,0
36.9981,1.0000,0
37.9981,1.0000,0
38.9981,1.0000,0
39.9981,1.0000,0
40.9981,1.0000,0
41.9981,1.0000,0
42.9981,1.0000,0
43.9981,1.0000,0
44.9981,1.0000,0
45.9981,1.0000,0
46.9981,1.0000,0
47.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
24.9981,1.0000,0
25.9981,1.0000,0
26.9981,1.0000,0
27.9981,1.0000,0
28.9981,1.0000,0
29.9981,1.0000,0
30.9981,1.0000,0
31.9981,1.0000,0
32.9981,1.0000,0
33.9981,1.0000,0
34.9981,1.0000,0
35.9981,1.0000,0
36.9981,1.0000,0
37.9981,1.0000,0
38.9981,1.0000,0
39.9981,1.0000,0
40.9981,1.0000,0
41.9981,1.0000,0
42.9981,1.0000,0
43.9981,1.0000,0
44.9981,1.0000,0
45.9981,1.0000,0
46.9981,1.0000,0
47.9981,1.0000,0
48.9981,1.0000,0
49.9981,1.0000,0
50.9981,1.0000,0
51.9981,1.0000,0
52.9981,1.0000,0
53.9981,1.0000,0
54.9981,1.0000,0
55.9981,1.0000,0
56.9981,1.0000,0
57.9981,1.0000,0
58.9981,1.0000,0
1.9981,1.0000,0
2.9981,2.0000,2
3.9981,2.0000,2
4.9981,2.0000,2
5.9981,2.0000,2
6.9981,2.0000,2
7.9981,2.0000,2
8.9981,2.0000,2
9.9981,2.0000,2
10.9981,2.0000,2
11.9981,2.0000,2
12.9981,2.0000,2
13.9981,2.0000,2
14.9981,2.0000,2
15.9981,2.0000,2
16.9981,2.0000,2
17.9981,2.0000,2
18.9981,2.0000,2
19.9981,2.0000,2
20.9981,2.0000,2
21.9981,2.0000,2
22.9981,2.0000,2
23.9981,2.0000,2
24.9981,2.0000,2
25.9981,2.0000,2
26.9981,2.0000,2
27.9981,2.0000,2
28.9981,2.0000,2
29.9981,2.0000,2
30.9981,2.0000,2
31.9981,2.0000,2
32.9981,2.0000,2
33.9981,2.0000,2
34.9981,2.0000,2
35.9981,2.0000,2
36.9981,2.0000,2
37.9981,2.0000,2
38.9981,2.0000,2
39.9981,2.0000,2
40.9981,2.0000,2
1.9981,1.0000,0
2.9981,2.0000,2
3.9981,2.0000,2
4.9981,2.0000,2
5.9981,2.0000,2
6.9981,2.0000,2
7.9981,2.0000,2
8.9981,2.0000,2
9.9981,2.0000,2
10.9981,2.0000,2
11.9981,2.0000,2
12.9981,2.0000,2
13.9981,2.0000,2
14.9981,2.0000,2
1.9981,1.0000,0
2.9981,2.0000,2
3.9981,2.0000,2
4.9981,2.0000,2
5.9981,2.0000,2
6.9981,2.0000,2
7.9981,2.0000,2
8.9981,2.0000,2
9.9981,2.0000,2
10.9981,2.0000,2
11.9981,2.0000,2
12.9981,2.0000,2
13.9981,2.0000,2
14.9981,2.0000,2
1.9981,1.0000,0
2.9981,2.0000,2
3.9981,2.0000,2
4.9981,2.0000,2
5.9981,2.0000,2
6.9981,2.0000,2
7.9981,2.0000,2
8.9981,2.0000,2
9.9981,2.0000,2
10.9981,2.0000,2
11.9981,2.0000,2
12.9981,2.0000,2
13.9981,2.0000,2
1.9981,1.0000,0
2.9981,2.0000,2
3.9981,2.0000,2
4.9981,2.0000,2
5.9981,2.0000,2
6.9981,2.0000,2
7.9981,2.0000,2
8.9981,2.0000,2
9.9981,2.0000,2
10.9981,2.0000,2
11.9981,2.0000,2
12.9981,2.0000,2
13.9981,2.0000,2
14.9981,2.0000,2
15.9981,2.0000,2
16.9981,2.0000,2
17.9981,2.0000,2
18.9981,2.0000,2
19.9981,2.0000,2
20.9981,2.0000,2
21.9981,2.0000,2
22.9981,2.0000,2
23.9981,2.0000,2
24.9981,2.0000,2
25.9981,2.0000,2
26.9981,2.0000,2
27.9981,2.0000,2
28.9981,2.0000,2
1.9981,1.0000,0
2.9981,2.0000,2
3.9981,2.0000,2
4.9981,2.0000,2
5.9981,2.0000,2
6.9981,2.0000,2
7.9981,2.0000,2
8.9981,2.0000,2
9.9981,2.0000,2
10.9981,2.0000,2
11.9981,2.0000,2
12.9981,2.0000,2
13.9981,2.0000,2
14.9981,2.0000,2
15.9981,2.0000,2
16.9981,2.0000,2
17.9981,2.0000,2
1.9981,1.0000,0
2.9981,2.0000,2
3.9981,2.0000,2
4.9981,2.0000,2
5.9981,2.0000,2
6.9981,2.0000,2
7.9981,2.0000,2
8.9981,2.0000,2
9.9981,2.0000,2
10.9981,2.0000,2
1.9981,1.0000,0
2.9981,2.0000,2
3.9981,2.0000,2
4.9981,2.0000,2
5.9981,2.0000,2
6.9981,2.0000,2
7.9981,2.0000,2
8.9981,2.0000,2
9.9981,2.0000,2
10.9981,2.0000,2
11.9981,2.0000,2
12.9981,2.0000,2
13.9981,2.0000,2
14.9981,2.0000,2
15.9981,2.0000,2
16.9981,2.0000,2
17.9981,2.0000,2
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
24.9981,1.0000,0
25.9981,1.0000,0
26.9981,1.0000,0
27.9981,1.0000,0
28.9981,1.0000,0
29.9981,1.0000,0
30.9981,1.0000,0
31.9981,1.0000,0
32.9981,1.0000,0
33.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
24.9981,1.0000,0
25.9981,1.0000,0
26.9981,1.0000,0
27.9981,1.0000,0
28.9981,1.0000,0
29.9981,1.0000,0
30.9981,1.0000,0
31.9981,1.0000,0
32.9981,1.0000,0
33.9981,1.0000,0
34.9981,1.0000,0
35.9981,1.0000,0
36.9981,1.0000,0
37.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
24.9981,1.0000,0
25.9981,1.0000,0
26.9981,1.0000,0
27.9981,1.0000,0
28.9981,1.0000,0
29.9981,1.0000,0
30.9981,1.0000,0
31.9981,1.0000,0
32.9981,1.0000,0
33.9981,1.0000,0
34.9981,1.0000,0
35.9981,1.0000,0
36.9981,1.0000,0
37.9981,1.0000,0
38.9981,1.0000,0
39.9981,1.0000,0
40.9981,1.0000,0
41.9981,1.0000,0
42.9981,1.0000,0
43.9981,1.0000,0
44.9981,1.0000,0
45.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
24.9981,1.0000,0
25.9981,1.0000,0
26.9981,1.0000,0
27.9981,1.0000,0
28.9981,1.0000,0
29.9981,1.0000,0
30.9981,1.0000,0
31.9981,1.0000,0
32.9981,1.0000,0
33.9981,1.0000,0
34.9981,1.0000,0
35.9981,1.0000,0
36.9981,1.0000,0
1.9981,1.0000,0
2.9981,1.0000,0
3.9981,1.0000,0
4.9981,1.0000,0
5.9981,1.0000,0
6.9981,1.0000,0
7.9981,1.0000,0
8.9981,1.0000,0
9.9981,1.0000,0
10.9981,1.0000,0
11.9981,1.0000,0
12.9981,1.0000,0
13.9981,1.0000,0
14.9981,1.0000,0
15.9981,1.0000,0
16.9981,1.0000,0
17.9981,1.0000,0
18.9981,1.0000,0
19.9981,1.0000,0
20.9981,1.0000,0
21.9981,1.0000,0
22.9981,1.0000,0
23.9981,1.0000,0
24.9981,1.0000,0
25.9981,1.0000,0
26.9981,1.0000,0
